Date,Not indexed,Indexed,Impressions
2026-02-20,,,11
2026-02-21,95,109,9
2026-02-22,98,106,15
2026-02-23,98,106,30
2026-02-24,98,106,24
2026-02-25,102,102,29
2026-02-26,102,102,34
2026-02-27,102,102,7
2026-02-28,102,102,14
2026-03-01,102,102,18
2026-03-02,102,102,9
2026-03-03,102,102,14
2026-03-04,102,102,25
2026-03-05,102,102,25
2026-03-06,102,102,19
2026-03-07,102,102,22
2026-03-08,100,102,15
2026-03-09,100,102,17
2026-03-10,100,102,15
2026-03-11,101,101,16
2026-03-12,101,101,8
2026-03-13,101,101,11
2026-03-14,101,101,15
2026-03-15,101,101,10
2026-03-16,102,100,13
2026-03-17,102,100,14
2026-03-18,105,98,12
2026-03-19,105,98,10
2026-03-20,105,98,6
2026-03-21,105,98,10
2026-03-22,104,99,18
2026-03-23,104,99,20
2026-03-24,104,99,11
2026-03-25,102,101,15
2026-03-26,102,101,11
2026-03-27,102,101,12
2026-03-28,102,101,3
2026-03-29,103,100,13
2026-03-30,103,100,9
2026-03-31,103,100,8
2026-04-01,102,101,9
2026-04-02,102,101,11
2026-04-03,102,101,17
2026-04-04,102,101,25
2026-04-05,102,101,5
2026-04-06,102,101,14
2026-04-07,103,100,10
2026-04-08,103,100,6
2026-04-09,103,100,14
2026-04-10,103,100,15
2026-04-11,104,99,17
2026-04-12,104,99,12
2026-04-13,104,99,15
2026-04-14,106,97,13
2026-04-15,106,97,9
2026-04-16,106,97,10
2026-04-17,106,97,11
2026-04-18,107,96,11
2026-04-19,107,96,6
2026-04-20,107,96,11
2026-04-21,117,86,17
2026-04-22,117,86,12
2026-04-23,117,86,16
2026-04-24,117,86,11
2026-04-25,123,80,12
2026-04-26,123,80,14
2026-04-27,123,80,10
2026-04-28,133,70,7
2026-04-29,133,70,14
2026-04-30,133,70,14
2026-05-01,133,70,13
2026-05-02,137,67,7
2026-05-03,137,67,5
2026-05-04,137,67,20
2026-05-05,139,65,7
2026-05-06,139,65,14
2026-05-07,139,65,4
2026-05-08,139,65,15
2026-05-09,139,65,15
2026-05-10,139,65,5
2026-05-11,139,65,8
2026-05-12,139,65,22
2026-05-13,139,65,12
2026-05-14,139,65,20
2026-05-15,139,65,17
2026-05-16,127,78,15
2026-05-17,127,78,18
2026-05-18,127,78,30
